scenario_id,collision_time_s,pass_time_s,pass_to_collision_s,post_pass_lateral_convergence_m,terminal_opponent_body_x_m,terminal_opponent_body_y_m,terminal_heading_difference_rad,terminal_abs_kinematic_slip_proxy_rad
evaluation-sp12-ego513-raceline0-v0.8,5.869999999999919,5.479999999999928,0.3899999999999917,0.1997512091057802,-0.0883483064962628,-0.3169999449397652,0.0268547558728,0.0088838361096179
evaluation-sp13-ego556-raceline0-v0.8,7.049999999999894,6.599999999999904,0.4499999999999904,0.3912069482551277,-0.1844263236942223,-0.4760980140427402,1.0512724795535269,0.279847573631077
evaluation-sp15-ego641-raceline2-v0.7,4.369999999999951,4.169999999999956,0.1999999999999957,0.2357994270386398,-0.3674071369549704,0.3051753360868149,-0.0011317703956525,0.2121711258347076
evaluation-sp2-ego85-raceline2-v0.8,5.769999999999921,5.5799999999999255,0.1899999999999959,0.2413539109134853,-0.1582383382767442,0.3469667314922343,-0.1463334453975191,0.0835601777765622
evaluation-sp21-ego898-raceline0-v0.7,6.099999999999914,5.689999999999923,0.4099999999999912,0.362733227796876,-0.0242642481692595,-0.4430173863132803,0.6154841662563522,0.1768084585166298
evaluation-sp30-ego1283-raceline0-v0.7,7.25999999999989,6.089999999999915,1.169999999999975,0.443762291335582,-0.1042525717654131,-0.474642591968372,0.8616780761261795,0.0810269896854039
evaluation-sp37-ego1582-raceline2-v0.7,3.2699999999999743,2.9399999999999813,0.3299999999999929,0.3130866824815084,-0.5485970421464164,0.3084057565250502,-0.0030194069685762,0.0912215607286941
evaluation-sp4-ego171-raceline2-v0.8,6.7499999999999005,6.259999999999911,0.4899999999999895,0.5628426641919917,-0.4702389809322373,0.3556767566764068,-0.1689086225949396,0.0298217504054294
evaluation-sp45-ego1924-raceline0-v0.7,7.129999999999892,6.089999999999915,1.0399999999999778,0.214973149716511,-0.2983549142533817,-0.4705028397114839,0.8170212872655478,0.0375198403474481
evaluation-sp5-ego213-raceline0-v0.7,3.3099999999999734,3.0699999999999785,0.2399999999999948,0.223798776165788,-0.3578429480408372,-0.337420897680218,0.1071020284331019,0.0233201701763778
evaluation-sp9-ego384-raceline0-v0.7,7.389999999999887,7.089999999999893,0.2999999999999936,0.330859701430025,-0.0306573681994268,-0.3399264416077582,0.128940176854746,0.0626473843998969
