case_id	label	history_policy	history_steps	last_0.5s_steer_signed_mean	last_0.5s_steer_abs_mean	last_0.5s_steer_abs_max	last_0.5s_speed_signed_mean	last_0.5s_speed_abs_mean	last_0.5s_speed_abs_max	last_1s_steer_signed_mean	last_1s_steer_abs_mean	last_1s_steer_abs_max	last_1s_speed_signed_mean	last_1s_speed_abs_mean	last_1s_speed_abs_max
sp01_ol2_s0.7	fixed_collision	BC	471	-0.00021334853023290633	0.003906816877424717	0.007977426052093506	-0.02089008331298828	0.031171741485595702	0.07351350784301758	0.0005576394812669605	0.002963598662754521	0.007977426052093506	-0.005116991996765137	0.024222407341003418	0.07351350784301758
sp03_ol0_s0.8	new_collision	seed1_iter10	627	-0.003793987035751343	0.003793987035751343	0.007517516613006592	-0.05309135437011719	0.05309135437011719	0.09393978118896484	-0.005639623105525971	0.005639623105525971	0.01147221028804779	-0.05149462223052979	0.05149462223052979	0.09393978118896484
sp03_ol2_s0.8	fixed_collision	BC	441	0.00010124549269676209	0.005199511274695396	0.018085047602653503	-0.04093342781066894	0.04363266944885254	0.08132028579711914	0.0027997629274614157	0.00582015483523719	0.02031216025352478	-0.021296887397766112	0.03005569934844971	0.08132028579711914
sp04_ol0_s0.7	new_collision	seed1_iter10	518	-0.004096110612154007	0.004096110612154007	0.006731010973453522	-0.05703194618225098	0.05703194618225098	0.09115743637084961	-0.003773440644145012	0.00483829639852047	0.011177986860275269	-0.058504586219787595	0.058504586219787595	0.09115743637084961
sp06_ol0_s0.8	new_collision	seed1_iter10	790	-0.001695069670677185	0.0031366175413131713	0.006631225347518921	-0.01740304946899414	0.02890472412109375	0.06293964385986328	-0.0016219967603683472	0.0025177991390228274	0.006893277168273926	0.00726285457611084	0.03677148342132568	0.07469463348388672
sp06_ol1_s0.5	new_collision	seed1_iter10	297	0.00017174248117953538	0.0018046657787635922	0.005630515515804291	-0.03365158557891846	0.033817200660705565	0.06397771835327148	0.0019045918830670415	0.0037424944550730286	0.012127745896577835	-0.02902986764907837	0.029372055530548096	0.06397771835327148
sp08_ol0_s0.7	new_collision	seed1_iter10	420	-0.004408049954799935	0.004408049954799935	0.008596462139394134	-0.03696290016174317	0.03920779228210449	0.10435342788696289	-0.004550477973534726	0.004550477973534726	0.008596462139394134	-0.041953601837158204	0.04307604789733887	0.10435342788696289
sp09_ol0_s0.7	fixed_collision	BC	739	-0.00034288138151168825	0.000963338315486908	0.004904389381408691	-0.06180753707885742	0.06180753707885742	0.0816802978515625	-0.001926742047071457	0.0022580306231975555	0.008832603693008423	-0.05200575351715088	0.05200575351715088	0.0816802978515625
sp10_ol1_s0.5	new_collision	seed1_iter10	413	0.001471048593521118	0.004424512162804603	0.010910168290138245	-0.052733154296875	0.052733154296875	0.07283353805541992	0.0001013636781135574	0.004076831284328364	0.010910168290138245	-0.05790314674377441	0.05790314674377441	0.074249267578125
sp12_ol0_s0.8	fixed_collision	BC	587	-0.001576111912727356	0.0033589082956314085	0.00747331976890564	-0.050170392990112306	0.050170392990112306	0.10018253326416016	-0.00306093692779541	0.003952335119247436	0.00747331976890564	-0.04129878997802734	0.04129878997802734	0.10018253326416016
sp13_ol0_s0.8	fixed_collision	BC	705	0.006328927874565124	0.006328927874565124	0.009981721639633179	-0.029211101531982423	0.029211101531982423	0.046540260314941406	0.003997011035680771	0.004770896583795548	0.009981721639633179	-0.029128031730651857	0.032637648582458496	0.051209449768066406
sp14_ol0_s0.7	new_collision	seed1_iter10	582	0.011701187193393707	0.011701187193393707	0.02708381414413452	-0.0330048680305481	0.0330048680305481	0.05193662643432617	0.007014613747596741	0.007785694599151611	0.02708381414413452	-0.02572129845619202	0.03171604752540588	0.05700969696044922
sp17_ol1_s0.5	fixed_collision	BC	242	0.007936920487554743	0.007936920487554743	0.011399248614907265	-0.03975517272949219	0.03975517272949219	0.05420827865600586	0.00685462866036687	0.00685462866036687	0.011399248614907265	-0.04206732273101807	0.04206732273101807	0.07570123672485352
sp21_ol0_s0.7	fixed_collision	BC	610	0.004387389421463012	0.004387389421463012	0.010234132409095764	-0.03861568450927735	0.03861568450927735	0.06003522872924805	0.0028731198608875274	0.0029750536382198334	0.010234132409095764	-0.035483660697937014	0.03743519306182861	0.06853342056274414
sp32_ol1_s0.5	fixed_collision	BC	677	-0.001907241940498352	0.0019407784938812256	0.0064752548933029175	-0.030736312866210938	0.030736312866210938	0.06389284133911133	0.0013717687129974365	0.0032958269119262697	0.0064752548933029175	-0.02185126781463623	0.02185126781463623	0.06389284133911133
sp32_ol1_s0.6	fixed_collision	BC	438	0.008921975791454316	0.008921975791454316	0.016028940677642822	-0.021565275192260744	0.021565275192260744	0.03812766075134277	0.0067276181280612945	0.0067276181280612945	0.016028940677642822	-0.02620952606201172	0.02620952606201172	0.03812766075134277
sp34_ol0_s0.8	new_collision	seed1_iter10	520	0.0017613117955625056	0.0017613117955625056	0.0023777373135089874	-0.04427859306335449	0.04427859306335449	0.06265449523925781	0.0011230288352817297	0.002377806743606925	0.011590465903282166	-0.038242278099060056	0.038242278099060056	0.06265449523925781
sp36_ol0_s0.7	new_collision	seed1_iter10	451	0.009577082693576813	0.009577082693576813	0.014238536357879639	-0.025185546875	0.03140451431274414	0.05661201477050781	0.0032813591160811484	0.006751646508928388	0.014238536357879639	-0.015975322723388672	0.027449703216552733	0.05661201477050781
